Provider_ID,Provider_Name,City,State,Zip_Code,PSI-10,PSI-11,PSI-12,PSI-13,PSI-14,PSI-15,PSI-3,PSI-6,PSI-8,PSI-9,PSI-90
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,0.648342,6.018320,5.568634,4.449475,0.574196,1.125357,0.167069,0.376404,0.143797,2.645370,0.900515
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,1.101365,12.168299,3.173755,5.195418,0.747671,1.300277,0.702127,0.240413,0.103847,2.085962,1.135227
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631,1.279557,7.188815,3.306281,4.947552,0.654436,1.375222,0.458571,0.303960,0.112350,3.377031,0.965482
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,1.299574,9.459992,4.755081,5.110230,0.844655,1.259915,0.272291,0.276819,0.109424,2.564570,1.044649
10008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359476,0.285329,0.110292,0.000000,0.987422
10011,ST VINCENT'S EAST,BIRMINGHAM,AL,35235,1.742964,15.217393,4.534663,5.565786,1.047398,1.308682,0.060589,0.262396,0.102041,2.796595,1.200920
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,1.262409,7.688275,3.386902,5.465659,0.796349,1.214610,0.219788,0.267965,0.109254,2.708711,0.927972
10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,2.110463,7.867558,3.349990,7.550125,1.055098,0.950528,0.356874,0.305237,0.116868,2.144802,1.110350
10018,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,1.309787,7.460007,3.774596,5.118783,0.000000,0.000000,0.388475,0.287223,0.110437,2.567434,0.971986
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,0.000000,0.000000,2.939585,0.000000,0.762464,1.139053,0.331246,0.290078,0.105119,2.571784,0.929903
10021,DALE MEDICAL CENTER,OZARK,AL,36360,1.231312,15.147545,4.160277,5.783570,0.837218,1.231960,0.257586,0.277703,0.123275,2.550891,1.208470
