State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
AK,Death rate for heart attack patients,MORT_30_AMI,0,5,0,15,,07/01/2014,06/30/2017
AK,Death rate for heart failure patients,MORT_30_HF,0,9,0,14,,07/01/2014,06/30/2017
AK,Death rate for pneumonia patients,MORT_30_PN,0,13,0,10,,07/01/2014,06/30/2017
AK,Death rate for COPD patients,MORT_30_COPD,0,11,0,12,,07/01/2014,06/30/2017
AK,Death rate for stroke patients,MORT_30_STK,0,8,0,15,,07/01/2014,06/30/2017
AK,Death rate for CABG surgery patients,MORT_30_CABG,0,2,0,0,,07/01/2014,06/30/2017
AK,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,8,0,1,,04/01/2014,03/31/2017
AK,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,0,8,0,Not Available,,10/01/2015,06/30/2017
AK,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,8,0,0,,10/01/2015,06/30/2017
AK,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,7,0,0,,10/01/2015,06/30/2017
AK,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,7,0,0,,10/01/2015,06/30/2017
AK,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,7,0,1,,10/01/2015,06/30/2017
AK,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,4,0,2,,10/01/2015,06/30/2017
AK,Pressure Ulcer Rate,PSI_3_ULCER,0,8,0,0,,10/01/2015,06/30/2017
AK,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,8,0,0,,10/01/2015,06/30/2017
AK,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,6,0,0,,10/01/2015,06/30/2017
AK,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,7,0,0,,10/01/2015,06/30/2017
AK,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,6,0,0,,10/01/2015,06/30/2017
AK,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,0,6,0,0,,10/01/2015,06/30/2017
AS,Death rate for heart attack patients,MORT_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017
AS,Death rate for heart failure patients,MORT_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017
AS,Death rate for pneumonia patients,MORT_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017
AS,Death rate for COPD patients,MORT_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017
AS,Death rate for stroke patients,MORT_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017
AS,Death rate for CABG surgery patients,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017
