State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
AK,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.862,,04/01/2017,03/31/2018
AS,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.747,,04/01/2017,03/31/2018
MA,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.796,,04/01/2017,03/31/2018
MD,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.838,,04/01/2017,03/31/2018
NE,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.768,,04/01/2017,03/31/2018
OH,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.730,,04/01/2017,03/31/2018
PA,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.806,,04/01/2017,03/31/2018
PR,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,1.444,,04/01/2017,03/31/2018
SD,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.572,,04/01/2017,03/31/2018
AK,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,1.307,,04/01/2017,03/31/2018
AS,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.853,,04/01/2017,03/31/2018
MA,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.882,,04/01/2017,03/31/2018
MD,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.944,,04/01/2017,03/31/2018
NE,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.944,,04/01/2017,03/31/2018
OH,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.795,,04/01/2017,03/31/2018
PA,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.864,,04/01/2017,03/31/2018
PR,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,1.865,,04/01/2017,03/31/2018
SD,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.852,,04/01/2017,03/31/2018
AK,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.541,,04/01/2017,03/31/2018
AS,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.651,,04/01/2017,03/31/2018
MA,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.716,,04/01/2017,03/31/2018
MD,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.741,,04/01/2017,03/31/2018
NE,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.618,,04/01/2017,03/31/2018
OH,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.669,,04/01/2017,03/31/2018
PA,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.751,,04/01/2017,03/31/2018
PR,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,1.098,,04/01/2017,03/31/2018
SD,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.368,,04/01/2017,03/31/2018
AK,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,1.565,,04/01/2017,03/31/2018
AS,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.761,,04/01/2017,03/31/2018
MA,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,1.073,,04/01/2017,03/31/2018
MD,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.834,,04/01/2017,03/31/2018
NE,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.954,,04/01/2017,03/31/2018
OH,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.762,,04/01/2017,03/31/2018
PA,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.835,,04/01/2017,03/31/2018
PR,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.849,,04/01/2017,03/31/2018
SD,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,1.150,,04/01/2017,03/31/2018
AK,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,2.205,,04/01/2017,03/31/2018
AS,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.855,,04/01/2017,03/31/2018
MA,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.162,,04/01/2017,03/31/2018
MD,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.936,,04/01/2017,03/31/2018
NE,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.154,,04/01/2017,03/31/2018
OH,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.817,,04/01/2017,03/31/2018
PA,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.889,,04/01/2017,03/31/2018
PR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.068,,04/01/2017,03/31/2018
SD,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.508,,04/01/2017,03/31/2018
AK,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,1.075,,04/01/2017,03/31/2018
AS,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.676,,04/01/2017,03/31/2018
MA,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.988,,04/01/2017,03/31/2018
MD,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.740,,04/01/2017,03/31/2018
NE,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.781,,04/01/2017,03/31/2018
OH,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.709,,04/01/2017,03/31/2018
PA,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.783,,04/01/2017,03/31/2018
PR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.666,,04/01/2017,03/31/2018
SD,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,HAI_2_CI_LOWER,0.860,,04/01/2017,03/31/2018
AK,SSI - Colon Surgery,HAI_3_SIR,1.141,,04/01/2017,03/31/2018
AS,SSI - Colon Surgery,HAI_3_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,SSI - Colon Surgery,HAI_3_SIR,1.036,,04/01/2017,03/31/2018
MA,SSI - Colon Surgery,HAI_3_SIR,0.847,,04/01/2017,03/31/2018
MD,SSI - Colon Surgery,HAI_3_SIR,1.026,,04/01/2017,03/31/2018
NE,SSI - Colon Surgery,HAI_3_SIR,1.156,,04/01/2017,03/31/2018
OH,SSI - Colon Surgery,HAI_3_SIR,0.776,,04/01/2017,03/31/2018
PA,SSI - Colon Surgery,HAI_3_SIR,0.801,,04/01/2017,03/31/2018
PR,SSI - Colon Surgery,HAI_3_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
SD,SSI - Colon Surgery,HAI_3_SIR,1.352,,04/01/2017,03/31/2018
AK,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,1.731,,04/01/2017,03/31/2018
AS,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,1.205,,04/01/2017,03/31/2018
MA,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,0.985,,04/01/2017,03/31/2018
MD,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,1.196,,04/01/2017,03/31/2018
NE,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,1.475,,04/01/2017,03/31/2018
OH,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,0.865,,04/01/2017,03/31/2018
PA,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,0.890,,04/01/2017,03/31/2018
PR,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
SD,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CI_UPPER,1.852,,04/01/2017,03/31/2018
AK,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.716,,04/01/2017,03/31/2018
AS,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.885,,04/01/2017,03/31/2018
MA,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.724,,04/01/2017,03/31/2018
MD,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.876,,04/01/2017,03/31/2018
NE,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.892,,04/01/2017,03/31/2018
OH,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.693,,04/01/2017,03/31/2018
PA,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.719,,04/01/2017,03/31/2018
PR,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
SD,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CI_LOWER,0.961,,04/01/2017,03/31/2018
AK,SSI - Abdominal Hysterectomy,HAI_4_SIR,1.225,,04/01/2017,03/31/2018
AS,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
