Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Person and Community Engagement Domain Score,Weighted Person and Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Houston,37.5,9.375,12,3,40,10,0,0,22.375
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,27.5,6.875,42,10.5,21.66666667,5.416666667,0,0,22.79166667
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,Lauderdale,27.5,6.875,20,5,35,8.75,0,0,20.625
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,33.33333333,11.11111111,31,10.33333333,Not Available,Not Available,0,0,21.44444444
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,42.5,10.625,30,7.5,33.33333333,8.333333333,0,0,26.45833333
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,16.66666667,4.166666667,18,4.5,66.66666667,16.66666667,0,0,25.33333333
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,45,11.25,19,4.75,55,13.75,0,0,29.75
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,62.5,15.625,40,10,33.33333333,8.333333333,0,0,33.95833333
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,25,8.333333333,62,20.66666667,Not Available,Not Available,0,0,29
10022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,Cherokee,30,10,74,24.66666667,Not Available,Not Available,100,33.33333333,68
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,47.5,11.875,30,7.5,28.33333333,7.083333333,0,0,26.45833333
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,Montgomery,52.5,13.125,30,7.5,41.66666667,10.41666667,0,0,31.04166667
10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,Lee,17.5,4.375,45,11.25,33.33333333,8.333333333,50,12.5,36.45833333
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,90,22.5,55,13.75,40,10,10,2.5,48.75
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,Elmore,85,28.33333333,38,12.66666667,Not Available,Not Available,10,3.333333333,44.33333333
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,Cullman,25,6.25,25,6.25,48.33333333,12.08333333,10,2.5,27.08333333
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Covington,70,17.5,28,7,56.66666667,14.16666667,50,12.5,51.16666667
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,Calhoun,62.5,15.625,28,7,100,25,20,5,52.625
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,45,11.25,32,8,21.66666667,5.416666667,0,0,24.66666667
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,Etowah,52.5,13.125,28,7,35,8.75,0,0,28.875
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,Marion,75,25,47,15.66666667,Not Available,Not Available,80,26.66666667,67.33333333
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Fayette,45,15,89,29.66666667,Not Available,Not Available,40,13.33333333,58
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,Etowah,95,23.75,27,6.75,47.5,11.875,30,7.5,49.875
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,Coffee,50,12.5,33,8.25,66.66666667,16.66666667,10,2.5,39.91666667
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,Houston,30,7.5,37,9.25,43.33333333,10.83333333,0,0,27.58333333
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,Jefferson,60,15,42,10.5,40,10,0,0,35.5
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Jackson,40,10,24,6,70,17.5,0,0,33.5
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,45,15,39,13,Not Available,Not Available,10,3.333333333,31.33333333
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,Tallapoosa,50,12.5,56,14,0,0,20,5,31.5
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Barbour,55,18.33333333,52,17.33333333,Not Available,Not Available,20,6.666666667,42.33333333
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,Clay,15,5,80,26.66666667,Not Available,Not Available,20,6.666666667,38.33333333
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,Calhoun,47.5,11.875,22,5.5,60,15,0,0,32.375
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,Limestone,40,10,26,6.5,82,20.5,0,0,37
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,Baldwin,67.5,16.875,66,16.5,57.5,14.375,20,5,52.75
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,Morgan,60,15,23,5.75,40,10,0,0,30.75
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Fayette,35,11.66666667,61,20.33333333,Not Available,Not Available,0,0,32
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,Mobile,Not Available,Not Available,35,11.66666667,28,9.333333333,0,0,21
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,Walker,37.5,9.375,28,7,45,11.25,0,0,27.625
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,Mobile,40,10,25,6.25,36.66666667,9.166666667,10,2.5,27.91666667
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Clarke,35,11.66666667,38,12.66666667,Not Available,Not Available,10,3.333333333,27.66666667
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,Tuscaloosa,32.5,8.125,17,4.25,15,3.75,0,0,16.125
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,Elmore,70,23.33333333,59,19.66666667,Not Available,Not Available,0,0,43
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,Escambia,26.66666667,6.666666667,44,11,75,18.75,20,5,41.41666667
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,Baldwin,57.5,14.375,56,14,36.66666667,9.166666667,30,7.5,45.04166667
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,Talladega,15,3.75,47,11.75,65,16.25,0,0,31.75
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,Jefferson,30,7.5,29,7.25,36.66666667,9.166666667,0,0,23.91666667
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,Jefferson,60,15,35,8.75,63.33333333,15.83333333,0,0,39.58333333
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,Autauga,80,20,50,12.5,10,2.5,10,2.5,37.5
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,Marengo,45,15,35,11.66666667,Not Available,Not Available,10,3.333333333,30
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,Mobile,42.5,10.625,53,13.25,35,8.75,0,0,32.625
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,Jefferson,65,16.25,29,7.25,58.33333333,14.58333333,0,0,38.08333333
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,Dallas,26.66666667,6.666666667,21,5.25,92.5,23.125,30,7.5,42.54166667
10120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,Monroe,35,8.75,73,18.25,100,25,0,0,52
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,Winston,70,23.33333333,54,18,Not Available,Not Available,0,0,41.33333333
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,Pike,0,0,36,12,Not Available,Not Available,0,0,12
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,Clarke,0,0,44,14.66666667,Not Available,Not Available,20,6.666666667,21.33333333
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,Baldwin,10,2.5,57,14.25,50,12.5,20,5,34.25
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,Saint Clair,40,13.33333333,55,18.33333333,Not Available,Not Available,60,20,51.66666667
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,Madison,47.5,11.875,21,5.25,41.66666667,10.41666667,10,2.5,30.04166667
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,Jefferson,50,12.5,22,5.5,40,10,0,0,28
10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,Mobile,42.5,10.625,38,9.5,56.66666667,14.16666667,0,0,34.29166667
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,Conecuh,45,15,33,11,Not Available,Not Available,80,26.66666667,52.66666667
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,Montgomery,66.66666667,16.66666667,44,11,13.33333333,3.333333333,0,0,31
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,Butler,50,16.66666667,54,18,Not Available,Not Available,0,0,34.66666667
