State,Condition,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
AK,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,196,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AS,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,68,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
MT,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,84,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
NH,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,132,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
OK,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,77,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
TN,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,OP_3b,50,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AK,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,7,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AS,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,6,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
