State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
AK,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,4,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,2,37,0,50,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,2,45,0,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,37,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,19,1,51,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,89,0,64,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,109,0,50,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,11,0,35,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,8,0,33,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
